ingredient,ingredient_key,product_occurrences,egg,fish,milk,peanut,sesame,shellfish,soy,tree_nut,wheat,vegan,vegetarian,pescatarian,gluten_free,egg_safe_products,fish_safe_products,milk_safe_products,peanut_safe_products,sesame_safe_products,shellfish_safe_products,soy_safe_products,tree_nut_safe_products,wheat_safe_products,vegan_safe_products,vegetarian_safe_products,pescatarian_safe_products,gluten_free_safe_products,egg_violates_products,fish_violates_products,milk_violates_products,peanut_violates_products,sesame_violates_products,shellfish_violates_products,soy_violates_products,tree_nut_violates_products,wheat_violates_products,vegan_violates_products,vegetarian_violates_products,pescatarian_violates_products,gluten_free_violates_products
*CANE SUGAR-ORGANIC,cane sugar organic,10,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,10,10,6,10,10,10,8,9,8,6,10,10,8,0,4,4,0,0,0,2,1,2,4,0,0,2
*CAPER,caper,9,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,8,8,9,9,9,9,7,8,9,8,8,9,9,1,1,0,0,0,0,2,1,0,1,1,0,0
*certified organic ingredient,certified organic ingredient,6,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,6,6,6,6,6,6,6,6,6,6,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0
*Espresso Powder,espresso powder,19,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,14,17,11,19,18,19,13,10,18,10,17,18,18,5,9,8,0,1,0,6,9,1,9,2,1,1
*from concentrate,from concentrate,11,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,11,11,11,11,11,11,11,11,11,11,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0
*HONEYSUCKLE,honeysuckle,8,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,8,8,7,8,8,8,8,7,8,7,8,8,8,0,1,1,0,0,0,0,1,0,1,0,0,0
*MADE WITH NO GLUTEN-CONTAINING INGREDIENTS,made with no gluten containing ingredients,35,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,31,34,27,34,21,35,14,32,35,23,34,34,32,4,12,8,1,14,0,21,3,0,12,1,1,3
*Oleic Sunflower Oil,oleic sunflower oil,14,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,14,14,9,14,13,14,14,14,14,9,14,14,14,0,5,5,0,1,0,0,0,0,5,0,0,0
*ORGANIC,organic,167,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,161,157,151,166,163,165,150,127,154,139,157,159,156,6,28,16,1,4,2,17,40,13,28,10,8,11
*ORGANIC COCOA POWDER - PROCESSED WITH ALKALI,organic cocoa powder processed with alkali,18,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,16,16,13,18,18,18,14,16,15,10,16,16,15,2,8,5,0,0,0,4,2,3,8,2,2,3
*ORGANIC FRESH BASIL,organic fresh basil,11,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,11,11,11,11,11,11,11,11,11,11,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0
*organic raw cane sugar,organic raw cane sugar,157,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,156,155,119,155,153,157,148,127,154,116,155,155,152,1,41,38,2,4,0,9,30,3,41,2,2,5
*organic vanilla beans,organic vanilla beans,68,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,67,68,46,68,68,68,68,31,67,46,68,68,67,1,22,22,0,0,0,0,37,1,22,0,0,1
*roasted and salted pumpkin seeds,roasted and salted pumpkin seeds,10,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,10,10,10,10,10,10,10,10,8,10,10,10,8,0,0,0,0,0,0,0,0,2,0,0,0,2
*Seedless Watermelon,seedless watermelon,15,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,15,15,15,15,15,15,15,15,15,15,15,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0
*Serrano Chili,serrano chili,23,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,23,23,16,23,23,23,23,9,23,16,23,23,23,0,7,7,0,0,0,0,14,0,7,0,0,0
*Triple filtered purified water,triple filtered purified water,21,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,19,15,19,20,21,21,17,21,21,13,15,20,21,2,8,2,1,0,0,4,0,0,8,6,1,0
*TURKEY TAIL,turkey tail,14,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,14,13,14,14,14,14,14,11,11,13,13,13,14,0,1,0,0,0,0,0,3,3,1,1,1,0
*wildflower honey,wildflower honey,82,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,81,38,30,78,79,82,77,69,78,27,38,81,78,1,55,52,4,3,0,5,13,4,55,44,1,4
1 medium,1 medium,10,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,10,10,10,10,10,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0
1 medium potato 2-1/4' to 3' across,1 medium potato 2 1 4 to 3 across,9,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,9,9,9,9,9,9,9,9,9,9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0
1 small,1 small,18,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,18,18,18,18,18,18,18,18,18,18,18,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0
1/10 of 1% Benzoate of Soda (a Preservative),1 10 of 1 benzoate of soda,31,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,30,30,30,31,31,31,24,31,30,29,30,30,30,1,2,1,0,0,0,7,0,1,2,1,1,1
1/10 of 1% Sodium Benzoate (as a Preservative),1 10 of 1 sodium benzoate,48,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,47,46,47,48,48,48,47,48,46,46,46,47,46,1,2,1,0,0,0,1,0,2,2,2,1,2
1/10 Percent Sodium Benzoate as a Preservative,1 10 percent sodium benzoate as a preservative,7,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0
1/10th Of 1% Sodium Benzoate,1 10th of 1 sodium benzoate,11,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,11,11,11,11,11,11,10,11,11,11,11,11,11,0,0,0,0,0,0,1,0,0,0,0,0,0
12X,12x,37,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,37,29,22,37,32,37,37,36,37,13,29,29,37,0,24,15,0,5,0,0,1,0,24,8,8,0
2 Hexanediol,2 hexanediol,7,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0
2% of Organic Lemon Juice Concentrate,2 of organic lemon juice concentrate,10,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,10,10,10,10,10,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0
2% or Less of: Concentrated Orange Juice,2 or less of concentrated orange juice,32,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,32,32,32,32,32,32,32,32,32,32,32,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0
30X,30x,43,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,43,35,33,43,35,43,43,39,43,21,35,35,43,0,22,10,0,8,0,0,4,0,22,8,8,0
3x,3x,10,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,10,8,10,10,10,10,10,9,10,7,8,8,10,0,3,0,0,0,0,0,1,0,3,2,2,0
5 Htp ( 5-Hydroxytryptophan ),5 htp,23,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,23,17,23,23,23,23,22,22,23,17,17,17,23,0,6,0,0,0,0,1,1,0,6,6,6,0
5-hydroxytryptophan (5-htp),5 hydroxytryptophan,17,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,17,15,17,17,17,17,17,17,17,15,15,15,17,0,2,0,0,0,0,0,0,0,2,2,2,0
50:1 Panax Notoginseng) Root Extracts,50 1 panax notoginseng root extracts,10,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,10,10,10,10,10,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0
6X,6x,20,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,20,12,19,20,18,20,20,16,20,7,12,12,20,0,13,1,0,2,0,0,4,0,13,8,8,0
<1% OF: ORGANIC LEMON JUICE CONCENTRATE,1 of organic lemon juice concentrate,7,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0
<1.5% of: Organic Lemon Juice Concentrate,1 5 of organic lemon juice concentrate,7,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0
?-Carotene,carotene,56,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,39,41,25,55,55,54,38,44,40,18,41,43,40,17,38,31,1,1,2,18,12,16,38,15,13,16
A,a,8,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,8,8,8,8,8,8,8,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0
A B Vitamin (niacinamide),a b vitamin,1057,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,1057,824,1006,977,1049,1057,882,900,783,798,824,824,782,0,259,51,80,8,0,175,157,274,259,233,233,275
A Blend of Black Teas,a blend of black teas,10,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,10,10,10,10,10,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0
A Blend of Salt,a blend of salt,9,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,9,9,9,9,9,9,9,9,9,9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0
Absorbic Acid,absorbic acid,8,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,8,8,8,8,8,8,8,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0
Acacia,acacia,503,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,440,399,388,488,480,503,320,439,419,219,399,400,433,63,284,115,15,23,0,183,64,84,284,104,103,70
Acacia and Magnesium Stearate,acacia and magnesium stearate,7,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0
Acacia Fiber,acacia fiber,67,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,65,58,60,58,67,67,66,17,62,51,58,58,66,2,16,7,9,0,0,1,50,5,16,9,9,1
Acacia Gum,acacia gum,1279,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,1171,1204,917,1226,1266,1278,1004,976,1117,832,1204,1214,1109,108,447,362,53,13,1,275,303,162,447,75,65,170
Acai,acai,97,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,97,76,94,95,96,94,95,73,80,67,76,78,84,0,30,3,2,1,3,2,24,17,30,21,19,13
Acai (Assai Palm) (Euterpe Oleracea) Extract (Fruit),acai extract,17,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,17,10,17,17,17,16,12,13,16,9,10,12,17,0,8,0,0,0,1,5,4,1,8,7,5,0
Acai Berry,acai berry,28,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,28,24,28,28,28,28,28,17,25,24,24,24,27,0,4,0,0,0,0,0,11,3,4,4,4,1
Acai Berry Extract 4:1 (euterpe oleracea),acai berry extract 4 1,10,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,10,10,10,10,10,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0
Acai Berry Powder,acai berry powder,12,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,12,9,8,12,12,12,12,10,11,6,9,10,12,0,6,4,0,0,0,0,2,1,6,3,2,0
Acai Fruit,acai fruit,11,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,10,8,10,11,11,11,11,11,9,7,8,8,10,1,4,1,0,0,0,0,0,2,4,3,3,1
Acai Fruit Extract (Euterpe oleracea),acai fruit extract,47,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,47,46,47,47,47,47,47,34,15,46,46,46,47,0,1,0,0,0,0,0,13,32,1,1,1,0
Acai Juice,acai juice,12,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,12,11,12,12,12,12,12,11,12,11,11,11,12,0,1,0,0,0,0,0,1,0,1,1,1,0
Acai Juice Powder,acai juice powder,14,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,13,14,14,14,14,14,14,7,10,13,14,14,12,1,1,0,0,0,0,0,7,4,1,0,0,2
Acai Powder,acai powder,30,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,30,30,30,26,28,30,30,18,28,30,30,30,30,0,0,0,4,2,0,0,12,2,0,0,0,0
"Acai Puree (Water, Acai Skin & Pulp, Citric Acid)",acai puree,50,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,50,49,47,50,50,50,40,20,50,42,49,49,50,0,8,3,0,0,0,10,30,0,8,1,1,0
Ace-K,ace k,14,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,14,13,10,13,14,14,14,13,14,9,13,13,14,0,5,4,1,0,0,0,1,0,5,1,1,0
Acerola,acerola,46,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,46,38,40,46,46,46,40,44,38,32,38,38,43,0,14,6,0,0,0,6,2,8,14,8,8,3
Acerola Cherry,acerola cherry,41,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,41,36,37,41,41,41,27,35,31,33,36,36,28,0,8,4,0,0,0,14,6,10,8,5,5,13
Acerola Cherry Extract,acerola cherry extract,53,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,53,53,53,53,53,53,52,45,25,53,53,53,53,0,0,0,0,0,0,1,8,28,0,0,0,0
Acerola Cherry Powder,acerola cherry powder,18,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,18,18,16,16,18,18,18,9,15,15,18,18,16,0,3,2,2,0,0,0,9,3,3,0,0,2
Acerola Extract,acerola extract,81,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,41,75,42,81,81,81,80,75,28,34,75,76,40,40,47,39,0,0,0,1,6,53,47,6,5,41
Acerola Fruit Extract,acerola fruit extract,24,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,24,22,23,24,24,24,24,23,23,22,22,22,23,0,2,1,0,0,0,0,1,1,2,2,2,1
Acerola Fruit Juice Powder,acerola fruit juice powder,7,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,7,7,7,7,7,7,7,7,6,7,7,7,7,0,0,0,0,0,0,0,0,1,0,0,0,0
acerola juice,acerola juice,29,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,29,29,29,29,29,29,29,24,28,29,29,29,28,0,0,0,0,0,0,0,5,1,0,0,0,1
ACEROLA JUICE CONCENTRATE,acerola juice concentrate,15,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,15,14,15,15,15,15,15,13,15,14,14,14,15,0,1,0,0,0,0,0,2,0,1,1,1,0
"Acerola Juice from Concentrate (Water, Acerola Juice Concentrate)",acerola juice from concentrate,44,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,44,34,44,44,44,44,44,44,44,34,34,34,44,0,10,0,0,0,0,0,0,0,10,10,10,0
Acerola Juice Powder (std. min. 25% Vitamin C) (fruit),acerola juice powder,42,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,42,42,42,42,42,42,42,39,41,42,42,42,42,0,0,0,0,0,0,0,3,1,0,0,0,0
acerola powder*,acerola powder,11,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,10,9,10,11,11,11,11,8,10,8,9,9,10,1,3,1,0,0,0,0,3,1,3,2,2,1
Acesulfame,acesulfame,38,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,36,34,30,38,38,38,31,36,37,26,34,34,37,2,12,8,0,0,0,7,2,1,12,4,4,1
ACESULFAME K,acesulfame k,590,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,562,541,502,590,590,590,219,517,557,456,541,543,557,28,134,88,0,0,0,371,73,33,134,49,47,33
ACESULFAME POTASSIUM,acesulfame potassium,6010,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,5923,5580,4426,5984,6007,6010,5233,5660,5869,4164,5580,5631,5864,87,1846,1584,26,3,0,777,350,141,1846,430,379,146
Acesulfame Potassium and Sucralose ( Splenda Brand ),acesulfame potassium and sucralose,18,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,18,17,12,17,18,18,15,14,17,12,17,17,17,0,6,6,1,0,0,3,4,1,6,1,1,1
ACESULFAME POTASSIUM. PHENYLKETONURICS: CONTAINS PHENYLALANINE,acesulfame potassium phenylketonurics contains phenylalanine,12,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,12,11,12,12,12,12,12,12,12,11,11,11,12,0,1,0,0,0,0,0,0,0,1,1,1,0
ACESULFAMEPOTASSIUM,acesulfamepotassium,13,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,13,13,8,13,13,13,11,13,13,8,13,13,13,0,5,5,0,0,0,2,0,0,5,0,0,0
Acetaminophen,acetaminophen,41,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,39,24,36,39,39,39,35,39,39,22,24,24,39,0,17,3,0,0,0,4,0,0,17,15,15,0
ACETATE,acetate,15,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,14,10,11,15,15,15,7,11,10,6,10,10,9,1,9,4,0,0,0,8,4,5,9,5,5,6
Acetic Acid,acetic acid,1346,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,1225,1083,997,1336,1271,1300,816,1283,866,825,1083,1176,875,121,521,349,10,75,46,530,63,480,521,263,170,471
Aceto Balsamico di Modena IGP (Balsamic Vinegar of Modena 39%),aceto balsamico di modena igp,7,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0
Acetyl L-Carnitine (as Acetyl L-Carnitine HCl),acetyl l carnitine,45,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,45,36,44,45,45,45,41,43,44,36,36,36,45,0,9,1,0,0,0,4,2,1,9,9,9,0
Acetyl L-Carnitine HCl,acetyl l carnitine hcl,28,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,28,18,28,28,28,28,25,28,28,18,18,18,28,0,10,0,0,0,0,3,0,0,10,10,10,0
Acetyl L-Tyrosine,acetyl l tyrosine,19,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,19,13,19,19,19,19,19,19,19,13,13,13,19,0,6,0,0,0,0,0,0,0,6,6,6,0
Acetylated Distarch Adipate,acetylated distarch adipate,32,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,32,31,18,31,30,32,23,31,26,17,31,31,26,0,15,14,1,2,0,9,1,6,15,1,1,6
ACETYLATED MONOGLYCERIDES,acetylated monoglycerides,453,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,417,248,158,388,452,453,185,380,261,80,248,248,170,36,373,295,65,1,0,268,73,192,373,205,205,283
Achiote,achiote,8,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,8,8,8,8,8,8,7,8,8,8,8,8,8,0,0,0,0,0,0,1,0,0,0,0,0,0
Acid,acid,207,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,193,185,169,207,206,207,175,181,170,156,185,187,170,14,51,38,0,1,0,32,26,37,51,22,20,37
"Acid Blend (Fumaric Acid, Acetic Acid, Lactic Acid)",acid blend,13,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,9,8,10,13,7,13,8,12,10,7,8,8,10,4,6,3,0,6,0,5,1,3,6,5,5,3
Acid Protease,acid protease,45,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,45,44,42,45,45,45,44,38,8,42,44,44,45,0,3,3,0,0,0,1,7,37,3,1,1,0
Acid Stable Protease (pH 2-5),acid stable protease,16,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,16,11,15,16,16,16,16,16,16,10,11,11,16,0,6,1,0,0,0,0,0,0,6,5,5,0
acid: citric acid,acid citric acid,53,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,51,49,48,53,53,53,50,46,45,43,49,50,45,2,10,5,0,0,0,3,7,8,10,4,3,8
ACID: MALIC ACID,acid malic acid,6,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,6,6,6,6,6,6,6,6,6,6,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0
Acidifier (Citric Acid),acidifier,14,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,9,12,10,14,14,14,9,11,7,6,12,12,7,5,8,4,0,0,0,5,3,7,8,2,2,7
acidifier: citric acid,acidifier citric acid,12,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,12,12,12,12,12,12,12,10,10,12,12,12,10,0,0,0,0,0,0,0,2,2,0,0,0,2
Acidity Regulator (Sodium Citrate),acidity regulator,605,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,safe,560,518,474,598,581,594,448,530,431,391,518,541,432,45,214,131,7,24,11,157,75,174,214,87,64,173
