priority_score,normalized_name,canonical_name,lookup_count,is_ready,allergens,diets,blocked_diets,reason_codes,top_surface_forms,datasets,review_status,review_notes
1915,seasoning corn syrup solids brown sugar salt dextrose vinegar powder garlic powder onion powder chicken type flavor,"seasoning corn syrup solids, brown sugar, salt, dextrose, vinegar powder , garlic powder, onion powder, chicken type flavor",10,no,soy | wheat,,Gluten-free | Pescatarian | Vegan | Vegetarian,allergen:soy | diet_block:gluten_free | diet_block:meat | evidence:surface_form | review:ambiguous_generic,"seasoning (corn syrup solids, brown sugar, salt, dextrose, vinegar powder (maltodextrin, modified corn starch, dried vinegar), garlic powder, onion powder, chicken type flavor (hydrolyzed corn gluten, autolyzed yeast extract, partially hydrogenated soybean and cottonseed oil, thiamine hydrochloride, disodium inosinate, disodium guanylate)) (6) | seasoning (corn syrup solids, brown sugar, salt, dextrose, vinegar powder (maltodextrin, modified corn starch, dried vinegar), garlic powder, onion powder, chicken type flavor (hydrolyzed corn gluten, autolyzed yeast extract, soybean oil, thiamine hydrochloride, disodium inosinate and disodium guanylate)) (4)",usda_only_train:7 | usda_only_val:2 | usda_only_holdout:1,,
1915,bacon flavor,bacon flavor,9,no,soy | wheat,,Gluten-free | Pescatarian | Vegan | Vegetarian,allergen:soy | diet_block:gluten_free | diet_block:meat | evidence:surface_form | review:ambiguous_generic,"bacon flavor (. topping: bread crumbs (bleached wheat flour, sugar, yeast, partially hydrogenated soybean oil, salt), salt, partially hydrogenated soybean and cottonseed oil, garlic powder, dehydrated red bell pepper, spices, oleoresin paprika, silicon dioxide (anti-caking) (5) | bacon flavor (potato maltodextrin, sunflower oil, gum arabic, natural flavor) (4)",usda_only_train:7 | usda_only_val:2,,
1915,crushed chocolate sandwich cookie,crushed chocolate sandwich cookie,9,no,milk | soy | wheat,Vegetarian | Pescatarian,Gluten-free | Vegan,allergen:milk | allergen:soy | diet_block:gluten_free | evidence:surface_form | review:product_style | review:surface_form_composite,"crushed chocolate sandwich cookie (sugar, enriched wheat flour flour, niacin, iron, thiamine mononitrate, riboflavin, folic acid , soybean and palm oil, cocoa processed with alkali, invert sugar, yellow corn flour, cornstarch, chocolate, salt, leavening baking soda, monocalcium phosphate , artificial flavor, soy lecithin, whey) (5) | crushed chocolate sandwich cookie (sugar, enriched wheat flour flour, niacin, iron, thiamine mononitrate, riboflavin, folic acid , soybean oil and palm oil, cocoa processed with alkali, invert sugar, degerminated yellow corn flour, cornstarch, unsweetened chocolate, leavening baking soda, monocalcium phosphate , salt, artificial flavor, soy lecithin, whey) (2) | crushed chocolate sandwich cookie (sugar, enriched wheat flour flour, niacin, reduced iron, thiamine mononitrate riboflavin, folic acid , soybean oil and palm oil, canola oil, cocoa processed with alkali, invert sugar, high fructose corn syrup, degerminated yellow corn flour, corn starch, unsweetened chocolate leavening baking soda, calcium phosphate, monocalcium phosphate , salt, artificial flavor, soy lecithin, whey) (1) | crushed chocolate sandwich cookie (sugar, enriched wheat flour flour, niacin, iron, thiamine mononitrate, riboflavin, folic acid , soybean oil and palm oil, cocoa processed with alkali, invert sugar, degerminated yellow corn flour, corn starch, unsweetened chocolate, leavening baking soda, monocalcium phosphate , salt, artificial flavor, soy lecithin, whey) (1)",usda_only_train:6 | usda_only_holdout:2 | usda_only_val:1,,
1915,pasta with garlic sauce,pasta with garlic sauce,9,no,milk | soy | wheat,Vegetarian | Pescatarian,Gluten-free | Vegan,allergen:milk | allergen:soy | diet_block:gluten_free | evidence:surface_form | review:product_style | review:surface_form_composite,"pasta with garlic sauce (cooked enriched pasta water, enriched wheat flour durum wheat semolina, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid , soybean oil, modified whey, salt, garlic seasoning garlic powder, sugar, spices, yeast extract, salt, whey, enzyme modified milkfat, natural flavors with milk , enriched wheat flour wheat flour, niacin, reduced iron, thiamin mononitrate, riboflavin, folic acid , cream flavor maltodextrin, lipolyzed cream , natural garlic oil blend medium chain triglycerides, natural flavors, soy lecithin ) (5) | pasta with garlic sauce (cooked enriched pasta water, enriched wheat flour durum wheat semolina, niacin, ferrous sulfate (iron), thiamine mononitrate, riboflavin, folic acid , soybean oil, modified whey (4)",usda_only_train:7 | usda_only_val:2,,
1905,ravioli,ravioli,17,no,egg | milk | soy | wheat,Vegetarian | Pescatarian,Gluten-free | Vegan,allergen:egg | allergen:milk | allergen:soy | diet_block:gluten_free | evidence:surface_form | review:product_style | review:surface_form_composite,"ravioli (water, enriched durum flour durum flour, niacin, ferrous sulfate, thiamine mononitrate, riboflavin, folic acid , ricotta cheese whey, milk, vinegar, carrageenan , mozzarella cheese pasteurized part skim milk, cheese cultures, salt, enzymes , eggs, breadcrumbs enriched wheat flour wheat flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid , sugar, soybean oil, yeast , parmesan cheese pasteurized part skim milk, cheese cultures, salt, enzyme, powdered cellulose , salt, egg whites, grated asiago cheese pasteurized milk, cheese cultures, salt, enzyme, powdered cellulose , natural flavor, modified cornstarch, xanthan gum, guar gum, locust bean gum, granulated garlic, black pepper, beta carotene) (7) | ravioli (water, enriched durum flour durum flour, niacin, ferrous sulfate, thiamine mononitrate, riboflavin, folic acid , ricotta cheese whey, milk, vinegar, carrageenan , mozzarella cheese pasteurized part skim milk, cheese cultures, salt, enzymes , eggs, breadcrumbs enriched wheat flour wheat flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid , sugar, soybean oil, yeast , parmesan cheese pasteurized part skim milk, cheese cultures, salt, enzyme , salt, egg whites, grated asiago cheese pasteurized milk, cheese cultures, salt, enzyme , natural flavor, methylcellulose, modified cornstarch, xanthan gum, guar gum, locust bean gum, granulated garlic, black pepper, beta carotene) (6) | ravioli (water, enriched durum flour durum flour, niacin, ferrous sulfate, thiamine mononitrate, riboflavin, folic acid , ricotta cheese whey, milk, vinegar, carrageenan , mozzarella cheese pasteurized part skim milk, cheese cultures, salt, enzymes , eggs, breadcrumbs enriched wheat flour wheat flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid , sugar, soybean oil, yeast , parmesan cheese pasteurized part skim milk, cheese cultures, salt, enzyme, powdered cellulose , salt, egg whites, grated asiago cheese pasteurized milk, cheese cultures, salt, enzyme, powdered cellulose , natural flavor, modified cornstarch, xanthan gum, guar gum, locust bean gum, granulated garlic, black pepper, beta carotene , parmesan cheese pasteurized cow's milk, cheese cultures, salt, enzymes , salt, sugar, yeast, soybean oil, garlic powder, spices, onion powder) (4)",usda_only_train:11 | usda_only_val:4 | usda_only_holdout:2,,
1905,pudding mix,pudding mix,16,no,milk | soy | wheat,,Gluten-free | Pescatarian | Vegan | Vegetarian,allergen:milk | allergen:soy | diet_block:animal_derivative | diet_block:gluten_free | evidence:surface_form | review:product_style | review:surface_form_composite,"pudding mix (corn maltodextrin, sugar, whey permeate powder, modified corn starch, cocoa powder processed with alkali , cream powder cream, nonfat milk, soy lecithin , propylene glycol ester of fatty acid, natural flavor, mono- and diglycerides of fatty acids, lecithin, tocopherol-rich extract to protect flavor , acacia gum) (4) | pudding mix (sugar, modified cornstarch, cocoa processed with alkali, disodium phosphate, gummies (corn syrup, sugar, water, gelatin, citric acid, pectin, natural and artificial flavors, palm oil, carnauba leaf wax to prevent sticking , yellow 5, yellow 6, blue 1, red 40); crumbs (enriched wheat flour wheat flour, niacin, reduced iron, thiamin mononitrate (vitamin b1), riboflavin (vitamin b2), folic acid , sugar, canola oil, cocoa processed with alkali, high fructose corn syrup (3) | pudding mix (sugar, dairy product solids modified whey, reduced protein whey, whey solids , modified corn starch, sweet cream powder sweet cream, nonfat milk, sodium caseinate, tocopherol , cocoa powder, maltodextrin, propylene glycol esters of mono and diglycerides, soy lecithin, salt) (3) | pudding mix (sugar, modified cornstarch, cocoa processed with alkali, disodium phosphate, gummies (corn syrup, sugar, water, gelatin, citric acid, pectin, natural and artificial flavors, palm oil, carnauba leaf wax to prevent sticking , yellow 5, yellow 6, blue 1, red 40); crumbs (enriched wheat flour wheat flour, niacin, reduced iron, thiamine mononitrate (vitamin b1), riboflavin (vitamin b2), folic acid , sugar, canola oil, cocoa processed with alkali, high fructose corn syrup (3) | pudding mix (sugar, modified cornstarch, gummies (corn syrup, sugar, water, gelatin, citric acid, pectin, natural and artificial flavor, palm oil, carnauba leaf wax to prevent sticking , artificial color, blue 1, red 40); crumbs (enriched wheat flour wheat flour, niacin, reduced iron, thiamin mononitrate (vitamin b1), riboflavin (vitamin b2), folic acid , sugar, palm oil (3)",usda_only_train:14 | usda_only_val:1 | usda_only_holdout:1,,
1905,sponge cake,sponge cake,15,no,egg | milk | soy | wheat,Vegetarian | Pescatarian,Gluten-free | Vegan,allergen:egg | allergen:milk | allergen:soy | diet_block:gluten_free | evidence:surface_form | review:product_style | review:surface_form_composite,"sponge cake (sugar, cake flour bleached wheat flour , sugared egg yolks egg yolks, sugar , whole eggs, cake shortening soybean oil, glyceryl-lacto esters of fatty acids, vegetable mono- and diglycerides, tbhq protects flavor , whole milk milk, vitamin a palmitate, vitamin d3 , pan spray soy oil, petrolatum (8) | sponge cake (sugar, cake flour bleached wheat flour sugared egg yolks egg yolks, sugar , whole eggs, cake shortening soybean oil, glyceryl-lacto esters of fatty acids, vegetable mono- and diglycerides, tbhq protects flavor , whole milk milk, vitamin a palmitate, vitamin d3 pan spray soy oil, petrolatum. modified food starch) (5) | sponge cake (sugar, enriched bleached wheat flour flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid , egg yolks, nonfat milk, egg whites (2)",usda_only_train:13 | usda_only_val:2,,
1905,brownie brittle mix,brownie brittle mix,13,no,egg | milk | soy | wheat,Vegetarian | Pescatarian,Gluten-free | Vegan,allergen:egg | allergen:milk | allergen:soy | diet_block:gluten_free | evidence:surface_form | review:product_style | review:surface_form_composite,"brownie brittle mix (enriched wheat flour bleached flour, niacin, iron, thiamine mononitrate, riboflavin, folic acid , palm oil, cocoa processed with alkali, corn syrup solids, soybean oil, cornstarch (6) | brownie brittle mix (enriched wheat flour bleached flour, niacin, iron, thiamine mononitrate, folic acid , powdered sugar, sugar, palm oil, corn syrup solids, cocoa processed with alkali, soybean oil, cornstarch, egg whites, leavening baking soda , natural flavor, nonfat milk, salt, soy lecithin) (5) | brownie brittle mix (enriched wheat flour bleached flour, niacin, iron, thiamine mononitrate, folic acid , powdered sugar, sugar, palm oil, com syrup solids, cocoa processed with alkali, soybean oil, cornstarch, egg whites, leavering baking soda , natural flavor, nonfat milk, salt, soy lecithin) (2)",usda_only_train:10 | usda_only_holdout:3,,
1905,chocolate chip granola,chocolate chip - granola,12,no,milk | soy | tree nut | wheat,Vegetarian | Pescatarian,Gluten-free | Vegan,allergen:milk | allergen:soy | allergen:tree_nut | diet_block:gluten_free | evidence:surface_form | review:product_style | review:surface_form_composite,"chocolate chip - granola (whole grain oats, brown sugar, brown rice crisp whole grain brown rice flour, sugar, salt , whole grain wheat, soybean oil, coconut, whole wheat flour, baking soda, soy lecithin, nonfat dry milk) (5) | chocolate chip - granola (whole grain oats, brown sugar, brown rice crisp whole grain brown rice flour, sugar, salt , whole grain wheat, soybean oil, whole wheat flour, baking soda, soy lecithin, nonfat dry milk) (2) | chocolate chip - granola (whole grain oats, brown sugar, brown rice crisp whole grain brown rice flour, sugar, salt , whole grain wheat, soybean oil, dried coconut, whole wheat flour, sodium bicarbonate, soy lecithin, nonfat dry milk) (2) | chocolate chip - granola (whole grain oats, brown sugar, brown rice crisp whole grain brown rice flour, sugar, salt , whole grain wheat, soybean oil, dried coconut, whole wheat flour, baking soda, soy lecithin, nonfat dry milk) (1) | chocolate chip - granola (whole grain oats, brown sugar, brown rice crisp whole grain brown rice flour, sugar, salt whole grain wheat, soybean oil, coconut, whole wheat flour, baking soda, soy lecithin, nonfat dry milk) (1)",usda_only_train:8 | usda_only_val:3 | usda_only_holdout:1,,
1890,monterey jack cheese sauce,monterey jack cheese sauce,9,no,milk | soy | tree nut,Vegetarian | Pescatarian | Gluten-free,Vegan,allergen:milk | allergen:soy | allergen:tree_nut | evidence:surface_form | review:product_style | review:surface_form_composite,"monterey jack cheese sauce (water, monterey jack cheese cultured milk, salt, enzymes , soybean oil, modified corn starch, nonfat dry milk, salt, sodium phosphate, cheddar cheese cultured milk, salt, enzymes , yeast extract, sodium citrate, acetic acid, monoglycerides, natural flavors, butter oil, lactic acid, maltodextrin, xanthan gum, annatto color) (5) | monterey jack cheese sauce (water, monterey jack cheese cultured milk, salt, enzymes , cornstarch-modified, nonfat dry milk, coconut oil (4)",usda_only_train:7 | usda_only_val:1 | usda_only_holdout:1,,
1880,imitation crabmeat,imitation crabmeat,171,no,egg | fish | shellfish | soy | wheat,Pescatarian,Gluten-free | Vegan | Vegetarian,allergen:egg | allergen:fish | allergen:shellfish | allergen:soy | diet_block:gluten_free | evidence:surface_form | review:product_style | review:surface_form_composite,"imitation crabmeat (threadfin bream surimi, wheat starch, potato starch, salt, sugar, crab flavor, crab extract, sorbitol, soy protein, soybean oil, cochineal color e-120, paprika color e-160c) (88) | imitation crabmeat (fish protein pollock and/or whiting , water, wheat starch, mirin wine water, sugar, ethyl alcohol, rice, salt , egg white, sorbitol, sugar, soybean oil, potato starch (31) | imitation crabmeat (fish protein (pollock, cod, and/or pacific whiting) water, wheat starch, egg white, potato starch, sorbitol, sugar (12) | imitation crabmeat (12) | imitation crabmeat (fish protein alaska pollock and/or whiting , water, wheat starch, liquid egg whites water, egg white powder , corn starch, sugar, sorbitol (10)",usda_only_train:118 | usda_only_val:36 | usda_only_holdout:17,,
